dns_names,publishing_house_name
,Catégorie
,Éditions Doin
,CRC Press
,Éditeur scientifique
editions.lavoisier.fr,Éditions Lavoisier
http://www.cpu.rnu.tn,Centre de publication universitaire
"http://www.editions-sedes.com/,http://www.editions-sedes.com/collection/28/cned-sedes.php,http://www.necplus.eu/action/displayJournal?jid=HES,Lelivrescolaire.fr",CDU Sedes
,Chemistry Europe
www.cnrseditions.fr,CNRS Éditions
,Boydell & Brewer
https://www.elsevier.com/books-and-journals/woodhead-publishing,Woodhead Publishing
"http://www.biomedcentral.com,http://casesdatabase.com/",BioMed Central
http://www.archaeopress.com,Archaeopress
,Bentham Science Publishers
http://www.sudoc.fr/235846481,Jean-Pierre Dickès
,Béliveau Éditeur
www.vuibert.fr,Vuibert
www.worldscientific.com,World Scientific
https://www.universal-publishers.com/,Universal Publishers (États-Unis)
www.wiley-vch.de,Wiley-VCH
https://www.wiley.com/WileyCDA/Brand/id-35.html,Wiley-Blackwell
www.beck.de,C.H. Beck
www.taylorandfrancis.com,Taylor & Francis
,Vandenhoeck & Ruprecht
"Academia.edu,http://labyrinthe.revues.org/index1366.html,http://minimumrocknroll.free.fr/cp.pdf,http://www.seteun.net/archives/gbh.htm,http://www.crilcq.org/activites/contribution/pressbookGBHQc.pdf",Éditions Mélanie Seteun
http://www.springerpub.com/,Springer Publishing
,"Société d'éditions géographiques, maritimes et coloniales"
,Science Publishing Group
www.springer.com,Springer Science+Business Media
"presses-polytechnique.ca,livrescanadabooks.com,anel.qc.ca",Presses internationales Polytechnique
http://publicationsmrct.cnrs.fr,Publications Mission ressources et compétences technologiques
https://www.opu.dz,Office des publications universitaires
rowman.com,Rowman & Littlefield
,North Holland
www.rsc.org,Royal Society of Chemistry
,Oxford University Press
www.nature.com/npg,Nature Research
http://www.jle.com,John Libbey Eurotext
"osa.org,www.osa.org,osa.org",Optical Society
,McGraw-Hill Education
"elsevier-masson.fr,www.elsevier-masson.fr,www.elsevier-masson.fr",Elsevier Masson
,Alain Mius
wiley.com,John Wiley & Sons
"https://www.istegroup.com/,https://lejournal.cnrs.fr/articles/sciences-une-encyclopedie-contemporaine",ISTE Group
www.frontiersin.org,Frontiers Media
http://www.edpsciences.org,EDP Sciences
"http://www.eyrolles.com/,https://www.societe.com/societe/groupe-eyrolles-sa-775662604.html",Eyrolles
"https://www.elsevier.com/fr-fr,https://doi.org/10.1136/bmj.b1714,https://doi.org/10.1136/bmj.b1914",Elsevier
,IOP Publishing
,Charles Mendel
https://irishacademicpress.ie/,Irish Academic Press
,Franz Steiner Verlag
https://cdnsciencepub.com/,Éditions Sciences Canada
,Éditions Vigot-Maloine
"quae.com,quae-open.com,quae-open.com",Éditions Quæ
"editions-ems.fr,https://www.puq.ca,https://www.fnege.org",Éditions Management et Société
"www.odilejacob.fr,https://www.academia.edu/2000914/Odile_Jacob_et_le_monde_acad%C3%A9mique_aspects_%C3%A9ditoriaux_commerciaux_et_symboliques",Éditions Odile Jacob
,Catégorie
"https://web.archive.org/web/20160421002947/https://scholarlyoa.com/2016/02/09/canadian-publisher-has-open-access-evil-twin/,Archive.org,Archive.is,http://www.alliedacademies.com",Allied Academies
www.akkrt.hu,Akadémiai Kiadó
,Akademische Verlagsgesellschaft
portal.acs.org,American Chemical Society
